626000 4122
627000 1311
628000 1890
629000 -127
630000 318
631000 -2838
632000 -5238
633000 -6211
634000 -6023
635000 -5822
636000 182
637000 10070
638000 -6441
639000 869
640000 -472
641000 240
642000 3404
643000 3012
644000 4542
645000 2988
646000 4700
647000 -1719
648000 -2691
649000 -7397
650000 -5959
651000 -10973
652000 -3160
653000 -3346
654000 -1663
655000 1507
656000 2802
657000 2612
658000 3591
659000 5154
660000 -9517
661000 9912
662000 1803
663000 -873
664000 -2369
665000 4618
666000 -2239
667000 3193
668000 -1000
669000 1367
670000 -2218
671000 -4232
672000 2275
673000 1490
674000 1524
675000 2568
676000 1330
677000 45
678000 534
679000 -2449
680000 2738
681000 600
682000 -15227
683000 10791
684000 2177
685000 3113
686000 2548
687000 1295
688000 2148
689000 250
690000 131
691000 -2483
692000 -8275
693000 2373
694000 -3596
695000 4925
696000 -2227
697000 1969
698000 3740
699000 -965
700000 3511
701000 -4078
702000 -1594
703000 -3268
704000 -13399
705000 -12856
706000 6414
707000 -14058
708000 -3894
709000 -7423
710000 -594
711000 -865
712000 -963
713000 -1778
714000 -2699
715000 3055
716000 2777
717000 -1157
718000 -3148
719000 -3696
720000 -2991
721000 -2912
722000 -5274
723000 -587
724000 -810
725000 -1065
726000 -2134
727000 11357
728000 -4759
729000 -983
730000 1345
731000 2379
732000 3706
733000 4147
734000 -1071
735000 783
736000 -2795
737000 -3362
738000 -10286
739000 -2867
740000 -6844
741000 -415
742000 -1206
743000 -3924
744000 1786
745000 1666
746000 1040
747000 5590
748000 -1561
749000 16325
750000 15066
751000 -9235
752000 -5404
753000 -2390
754000 -1678
755000 -449
756000 4624
757000 -505
758000 3898
759000 3575
760000 3212
761000 2531
762000 3803
763000 4984
764000 -823
765000 7871
766000 -701
767000 5246
768000 1100
769000 -185
770000 3919
771000 9842
772000 -4468
773000 -1706
774000 1371
775000 191
776000 -756
777000 196
778000 -5139
779000 -7020
780000 -1957
781000 -3665
782000 3229
783000 6370
784000 1018
785000 4854
786000 2136
787000 2310
788000 323
789000 2924
790000 -2169
791000 242
792000 -790
793000 2363
794000 -8642
795000 6654
796000 -13525
797000 2826
798000 -2607
799000 -2979
800000 -1137
801000 -4228
802000 1789
803000 343
804000 -1441
805000 -4685
806000 -1098
807000 -2537
808000 -1445
809000 -320
810000 -3987
811000 -3754
812000 -53
813000 -1590
814000 148
815000 -1439
816000 -7749
817000 -2042
818000 -1350
819000 -1300
820000 2372
821000 -17
822000 424
823000 -3629
824000 2153
825000 -243
826000 2992
827000 -4218
828000 -3540
829000 1244
830000 256
831000 3281
832000 3082
833000 -581
834000 1299
835000 -2474
836000 1397
837000 -1337
838000 1392
839000 -14435
840000 -13398
841000 -2090
842000 4113
843000 3297
844000 7504
845000 -752
846000 -2628
847000 -1208
848000 -400
849000 3480
850000 5228
851000 1546
852000 2851
853000 -1497
854000 808
855000 295
856000 536
857000 1296
858000 -4097
859000 -1057
860000 -2049
861000 -1785
862000 4368
863000 -2030
864000 466
865000 -3493
866000 3379
867000 242
868000 5359
869000 0
870000 994
871000 -785
872000 1509
873000 -1285
874000 304
875000 1689
876000 -965
877000 1256
878000 -537
879000 37
880000 -1034
881000 276
882000 116
883000 -3604
884000 16376
885000 -9157
886000 13287
887000 617
888000 3617
889000 -1152
890000 5244
891000 2305
892000 5271
893000 4972
894000 2257
895000 -2522
896000 2139
897000 -1627
898000 2912
899000 -3397
900000 6137
901000 1534
902000 5472
903000 3276
904000 5584
905000 2449
906000 -5524
907000 -3153
908000 -808
909000 1209
910000 -1327
911000 6578
912000 -3112
913000 7917
914000 -859
915000 10330
916000 -5465
917000 4968
918000 -3342
919000 144
920000 -10005
921000 1924
922000 -10153
923000 -1047
924000 -5355
925000 6127
926000 -5444
927000 7549
928000 12977
929000 6352
930000 10419
931000 11213
